X1 Cost_of_Interest-bearing_Debt
X2 Cash_Reinvestment_Ratio
X3 Current_Ratio
X4 Acid_Test
X5 Interest_Expenses/Total_Revenue
X6 Total_Liability/Equity_Ratio
X7 Liability/Total_Assets
X8 Interest-bearing_Debt/Equity
X9 Contingent_Liability/Equity
X10 Operating_Income/Capital
X11 Pretax_Income/Capital
X12 Working_Capital_to_Total_Assets
X13 Quick_Assets/Total_assets
X14 Current_Assets/Total_Assets
X15 Cash/Total_Assets
X16 Quick_Assets/Current_Liability
X17 Cash/Current_Liability
X18 Current_Liability_to_Assets
X19 Operating_Funds_to_Liability
X20 Inventory/Working_Capital
X21 Inventory/Current_Liability
X22 Current_Liabilities/Liability
X23 Working_Capital/Equity
X24 Current_Liabilities/Equity
X25 Long-term_Liability_to_Current_Assets
X26 Current_Liability_to_Current_Assets
X27 One_if_Total_Liability_exceeds_Total_Assets;
X28 Equity_to_Liability
X29 Equity/Total_Assets
X30 (Long-term_Liability+Equity)/Fixed_Assets
X31 Fixed_Assets_to_Assets
X32 Current_Liability_to_Liability
X33 Current_Liability_to_Equity
X34 Equity_to_Long-term_Liability
X35 Liability_to_Equity
X36 Degree_of_Financial_Leverage
X37 Interest_Coverage_Ratio
X38 Operating_Expenses/Net_Sales
X39 (Research_and_Development_Expenses)/Net_Sales
X40 Effective_Tax_Rate
X41 Book_Value_Per_Share(B)
X42 Book_Value_Per_Share(A)
X43 Book_Value_Per_Share(C)
X44 Cash_Flow_Per_Share
X45 Sales_Per_Share
X46 Operating_Income_Per_Share
X47 Sales_Per_Employee
X48 Operation_Income_Per_Employee
X49 Fixed_Assets_Per_Employee
X50 total_assets_to_GNP_price
X51 Return_On_Total_Assets(C)
X52 Return_On_Total_Assets(A)
X53 Return_On_Total_Assets(B)
X54 Gross_Profit_/Net_Sales
X55 Realized_Gross_Profit/Net_Sales
X56 Operating_Income_/Net_Sales
X57 Pre-Tax_Income/Net_Sales
X58 Net_Income/Net_Sales
X59 Net_Non-operating_Income_Ratio
X60 Net_Income-Exclude_Disposal_Gain_or_Loss/Net_Sales
X61 EPS-Net_Income
X62 Pretax_Income_Per_Share
X63 Retained_Earnings_to_Total_Assets
X64 Total_Income_to_Total_Expenses
X65 Total_Expenses_to_Assets
X66 Net_Income_to_Total_Assets
X67 Gross_Profit_to_Sales
X68 Net_Income_to_Stockholder's_Equity
X69 One_if_Net_Income_is_Negative_for_the_Last_Two_Years;_Zero_Otherwise
X70 (Inventory_+Accounts_Receivables)_/Equity
X71 Total_Asset_Turnover
X72 Accounts_Receivable_Turnover
X73 Days_Receivable_Outstanding
X74 Inventory_Turnover
X75 Fixed_Asset_Turnover
X76 Equity_Turnover
X77 Current_Assets_to_Sales
X78 Quick_Assets_to_Sales
X79 Working_Capital_to_Sales
X80 Cash_to_Sales
X81 Cash_Flow_to_Sales
X82 No-credit_Interval
X83 Cash_Flow_from_Operating/Current_Liabilities
X84 Cash_Flow_to_Total_Assets
X85 Cash_Flow_to_Liability
X86 CFO_to_Assets
X87 Cash_Flow_to_Equity
X88 Realized_Gross_Profit_Growth_Rate
X89 Operating_Income_Growth
X90 Net_Income_Growth
X91 Continuing_Operating_Income_after_Tax_Growth
X92 Net_Income-Excluding_Disposal_Gain_or_Loss_Growth
X93 Total_Asset_Growth
X94 Total_Equity_Growth
X95 Return_on_Total_Asset_Growth
